C0023281	MONDO:0011989
C0023283	MONDO:0005446
C0023290	MONDO:0005445
C0023321	MONDO:0021582
C0023343	MONDO:0005124
C0023346	MONDO:0005125
C0023348	MONDO:0005127
C0023351	MONDO:0005126
C0023364	MONDO:0005825
C0023370	MONDO:0043683
C0023374	MONDO:0010298
C0023464	MONDO:0020322
C0023521	MONDO:0009499
C0023522	MONDO:0018868
C0023569	MONDO:0019862
C0023652	MONDO:0007899
C0023786	MONDO:0001586
C0023787	MONDO:0006573
C0023788	MONDO:0005116
C0023794	MONDO:0019245
C0023795	MONDO:0009530
C0023798	MONDO:0005106
C0023801	MONDO:0006574
C0023804	MONDO:0007908
C0023806	MONDO:0019346
C0023817	MONDO:0009387
C0023860	MONDO:0005828
C0023931	MONDO:0008146
C0023968	MONDO:0016566
C0023976	MONDO:0002442
C0024081	MONDO:0006576
C0024106	MONDO:0005830
C0024110	MONDO:0000744
C0024116	MONDO:0005766
C0024131	MONDO:0006838
C0024137	MONDO:0005282
C0024140	MONDO:0015573
C0024141	MONDO:0007915
C0024145	MONDO:0012500
C0024198	MONDO:0019632
C0024266	MONDO:0001449
C0024286	MONDO:0005834
C0024314	MONDO:0016537
C0024408	MONDO:0007182
C0024419	MONDO:0100280
C0024449	MONDO:0016823
C0024454	MONDO:0013808
C0024473	MONDO:0006844
C0024507	MONDO:0009894
C0024530	MONDO:0005136
C0024534	MONDO:0005625
C0024535	MONDO:0005920
C0024536	MONDO:0001943
C0024537	MONDO:0005921
C0024586	MONDO:0100347
C0024633	MONDO:0043247
C0024748	MONDO:0009561
C0024759	MONDO:0005838
C0024776	MONDO:0009563
C0024788	MONDO:0020500
C0024796	MONDO:0007947
C0024814	MONDO:0009567
C0024958	MONDO:0006850
C0024959	MONDO:0005842
C0025007	MONDO:0004619
C0025037	MONDO:0007955
C0025048	MONDO:0006851
C0025184	MONDO:0017799
C0025221	MONDO:0009552
C0025229	MONDO:0017775
C0025235	MONDO:0007969
C0025237	MONDO:0010650
C0025267	MONDO:0007540
C0025268	MONDO:0008234
C0025269	MONDO:0008082
C0025281	MONDO:0007972
C0025292	MONDO:0000889
C0025293	MONDO:0006836
C0025294	MONDO:0018059
C0025295	MONDO:0006913
C0025297	MONDO:0007015
C0025303	MONDO:0005373
C0025322	MONDO:0001119
C0025517	MONDO:0005066
C0025521	MONDO:0019052
C0025530	MONDO:0004666
C0025534	MONDO:0004689
C0026103	MONDO:0019191
C0026113	MONDO:0006580
C0026114	MONDO:0024227
C0026141	MONDO:0400002
C0026143	MONDO:0005850
C0026229	MONDO:0004389
C0026272	MONDO:0005854
C0026363	MONDO:0009642
C0026393	MONDO:0005855
C0026414	MONDO:0004755
C0026471	MONDO:0002274
C0026499	MONDO:0020639
C0026603	MONDO:0008015
C0026691	MONDO:0012727
C0026697	MONDO:0019248
C0026703	MONDO:0019249
C0026705	MONDO:0010674
C0026706	MONDO:0018937
C0026707	MONDO:0018938
C0026708	MONDO:0011760
C0026709	MONDO:0009661
C0026755	MONDO:0015454
C0026760	MONDO:0016648
C0026766	MONDO:0043726
C0026780	MONDO:0000989
C0026916	MONDO:0005866
C0026918	MONDO:0020590
C0026946	MONDO:0002041
C0027030	MONDO:0019147
C0027031	MONDO:0020568
C0027034	MONDO:0000301
C0027145	MONDO:0009718
C0027149	MONDO:0044784
C0027341	MONDO:0008061
C0027430	MONDO:0006314
C0027443	MONDO:0008532
C0027528	MONDO:0005870
C0027537	MONDO:0015306
C0027583	MONDO:0005871
C0027609	MONDO:0005566
C0027656	MONDO:0021581
C0027662	MONDO:0017169
C0027672	MONDO:0015356
C0027709	MONDO:0001567
C0027726	MONDO:0005377
C0027831	MONDO:0018975
C0027832	MONDO:0007039
C0027849	MONDO:0019790
C0027858	MONDO:0002173
C0027877	MONDO:0016295
C0027889	MONDO:0015364
C0027927	MONDO:0004944
C0027983	MONDO:0005875
C0028064	MONDO:0001982
C0028242	MONDO:0017776
C0028271	MONDO:0017124
C0028326	MONDO:0018997
C0028425	MONDO:0001951
C0028432	MONDO:0002436
C0028754	MONDO:0011122
C0028756	MONDO:0005139
C0028768	MONDO:0008114
C0028797	MONDO:0100366
C0028817	MONDO:0001910
C0028860	MONDO:0010645
C0028887	MONDO:0005880
C0029001	MONDO:0017137
C0029002	MONDO:0005878
C0029051	MONDO:0006877
C0029076	MONDO:0004854
C0029106	MONDO:0005884
C0029119	MONDO:0002312
C0029125	MONDO:0043878
C0029191	MONDO:0006882
C0029291	MONDO:0005888
C0029294	MONDO:0015375
C0029307	MONDO:0018984
C0029411	MONDO:0016620
C0029417	MONDO:0018936
C0029422	MONDO:0005516
C0029434	MONDO:0019019
C0029436	MONDO:0003157
C0029438	MONDO:0007414
C0029440	MONDO:0005166
C0029441	MONDO:0009808
C0029454	MONDO:0017198
C0029456	MONDO:0005298
C0029458	MONDO:0008159
C0029471	MONDO:0005891
C0029878	MONDO:0004795
C0029882	MONDO:0005441
C0029888	MONDO:0005975
C0029895	MONDO:0000262
C0029899	MONDO:0005349
C0029927	MONDO:0003282
C0030271	MONDO:0024674
C0030286	MONDO:0002356
C0030297	MONDO:0021040
C0030305	MONDO:0004982
C0030326	MONDO:0006591
C0030327	MONDO:0019561
C0030328	MONDO:0018063
C0030360	MONDO:0009490
C0030372	MONDO:0005913
C0030409	MONDO:0005894
C0030421	MONDO:0000448
C0030424	MONDO:0005895
C0030443	MONDO:0000995
C0030469	MONDO:0001735
C0030470	MONDO:0005289
C0030472	MONDO:0021073
C0030481	MONDO:0008039
C0030499	MONDO:0005135
C0030521	MONDO:0021360
C0030528	MONDO:0018626
C0030584	MONDO:0002965
C0030636	MONDO:0005901
C0030662	MONDO:0011662
C0030756	MONDO:0003472
C0030757	MONDO:0003471
C0030758	MONDO:0003482
C0030759	MONDO:0001794
C0030779	MONDO:0008214
C0030783	MONDO:0019975
C0030848	MONDO:0008231
C0030920	MONDO:0004247
C0030925	MONDO:0004260
C0031036	MONDO:0019170
C0031049	MONDO:0005903
C0031052	MONDO:0001931
C0031069	MONDO:0018088
C0031111	MONDO:0004934
C0031157	MONDO:0005906
C0031269	MONDO:0008280
C0031306	MONDO:0005910
C0031345	MONDO:0020592
C0031351	MONDO:0005911
C0031485	MONDO:0009861
C0031511	MONDO:0008233
C0031707	MONDO:0002319
C0031873	MONDO:0001441
C0031880	MONDO:0009763
C0031887	MONDO:0005914
C0031898	MONDO:0000253
C0031925	MONDO:0008249
C0031946	MONDO:0000979
C0032000	MONDO:0006373
C0032001	MONDO:0006908
C0032002	MONDO:0003381
C0032019	MONDO:0017611
C0032044	MONDO:0005916
C0032045	MONDO:0005917
C0032046	MONDO:0005918
C0032051	MONDO:0005919
C0032064	MONDO:0019095
C0032238	MONDO:0005751
C0032241	MONDO:0001940
C0032243	MONDO:0005716
C0032249	MONDO:0018895
C0032269	MONDO:0005114
C0032285	MONDO:0005249
C0032302	MONDO:0005867
C0032307	MONDO:0005947
C0032308	MONDO:0005970
C0032310	MONDO:0006012
C0032339	MONDO:0010002
C0032357	MONDO:0008262
C0032371	MONDO:0017373
C0032372	MONDO:0005684
C0032460	MONDO:0008487
C0032533	MONDO:0019735
C0032578	MONDO:0019934
C0032580	MONDO:0021055
C0032650	MONDO:0008288
C0032708	MONDO:0037821
C0032763	MONDO:0004566
C0032827	MONDO:0006919
C0032897	MONDO:0008300
C0032914	MONDO:0005081
C0032991	MONDO:0044098
C0033300	MONDO:0008310
C0033375	MONDO:0010911
C0033677	MONDO:0001371
C0033680	MONDO:0009174
C0033700	MONDO:0006929
C0033735	MONDO:0700045
C0033770	MONDO:0007032
C0033788	MONDO:0018931
C0033804	MONDO:0005518
C0033806	MONDO:0019992
C0033817	MONDO:0005141
C0033835	MONDO:0012912
C0033839	MONDO:0005932
C0034013	MONDO:0000088
C0034040	MONDO:0044013
C0034068	MONDO:0004802
C0034103	MONDO:0006937
C0034139	MONDO:0019254
C0034152	MONDO:0019167
C0034186	MONDO:0006939
C0034188	MONDO:0007022
C0034223	MONDO:0001922
C0034341	MONDO:0009949
C0034345	MONDO:0019169
C0034362	MONDO:0019186
C0034494	MONDO:0019173
C0034686	MONDO:0006941
C0034734	MONDO:0008364
C0034880	MONDO:0043303
C0034931	MONDO:0011441
C0034960	MONDO:0009958
C0035021	MONDO:0019633
C0035022	MONDO:0001621
C0035086	MONDO:0006946
C0035112	MONDO:0005939
C0035222	MONDO:0100130
C0035235	MONDO:0001577
C0035288	MONDO:0010721
C0035305	MONDO:0008375
C0035321	MONDO:0001539
C0035334	MONDO:0019200
C0035372	MONDO:0010726
C0035400	MONDO:0005942
C0035436	MONDO:0017767
C0035455	MONDO:0003014
C0035457	MONDO:0024332
C0035459	MONDO:0005659
C0035460	MONDO:0006004
C0035468	MONDO:0005945
C0035469	MONDO:0005946
C0035585	MONDO:0006956
C0035597	MONDO:0019360
C0035613	MONDO:0017880
C0035793	MONDO:0019359
C0035869	MONDO:0005194
C0035920	MONDO:0004656
C0035921	MONDO:0017361
C0035934	MONDO:0019188
C0036069	MONDO:0013127
C0036089	MONDO:0008400
C0036114	MONDO:0005950
C0036117	MONDO:0000827
C0036133	MONDO:0001172
C0036161	MONDO:0010006
C0036202	MONDO:0019338
C0036203	MONDO:0006611
